YEAR,MONTH,DAY,MAGNITUDE,COUNTRY,LOCATION_NAME,LATITUDE,LONGITUDE,CATEGORY
2010,6,16,7,INDONESIA,INDONESIA: NEW GUINEA:  IRIAN JAYA: JAPEN,-2.174,136.543,Earthquake
2010,9,3,7,NEW ZEALAND,NEW ZEALAND:  CHRISTCHURCH,-43.522,171.83,Earthquake
2011,7,10,7,JAPAN,JAPAN:  HONSHU:  E COAST,38.034,143.264,Earthquake
2011,8,20,7,VANUATU,VANUATU ISLANDS,-18.311,168.218,Earthquake
2012,2,2,7,VANUATU,VANUATU ISLANDS,-17.827,167.133,Earthquake
2013,2,8,7,SOLOMON ISLANDS,SOLOMON ISLANDS:  SANTA CRUZ ISLANDS,-10.928,166.018,Earthquake
2013,2,9,7,COLOMBIA,"COLOMBIA:  CAUCA, NARINO, VALLE DEL CAUCA, RISARALDA",1.135,-77.393,Earthquake
2013,9,25,7,PERU,PERU:  AREQUIPA,-15.851,-74.562,Earthquake
2015,7,18,7,SOLOMON ISLANDS,SOLOMON ISLANDS,-10.444,165.172,Earthquake
2015,7,27,7,INDONESIA,INDONESIA:  PAPUA,-2.683,138.508,Earthquake
1914,1,12,7.1,JAPAN,JAPAN:  SAKURIJIMA,31.58,130.67,Earthquake
1925,5,15,7.1,CHILE,CHILE:  NORTHERN,-26,-71.5,Earthquake
1927,10,24,7.1,USA,ALASKA:  SE ALASKA,57.69,-136.07,Earthquake
1927,11,21,7.1,CHILE,CHILE:  SOUTHERN,-44.6,-73,Earthquake
1928,11,20,7.1,CHILE,CHILE:  NORTHERN,-22.5,-70.5,Earthquake
1929,2,1,7.1,AFGHANISTAN,AFGHANISTAN:  HINDU KUSH,36.5,70.5,Earthquake
1930,7,2,7.1,BANGLADESH,"BANGLADESH:  DHUBRI,ASSAM",25.5,90,Earthquake
1930,11,25,7.1,JAPAN,JAPAN:  HONSHU:  IDU,35,139,Earthquake
1931,2,13,7.1,NEW ZEALAND,NEW ZEALAND:  N,-39.5,177,Earthquake
1931,3,18,7.1,CHILE,CENTRAL CHILE,-32.5,-72,Earthquake
1934,7,21,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS; NEW CALEDONIA,-11.139,165.503,Earthquake
1934,12,31,7.1,USA,"CALIFORNIA:  BAJA,IMPERIAL VALLEY",31.8,-115.5,Earthquake
1938,11,6,7.1,JAPAN,JAPAN:  NEAR E COAST HONSHU,37,141.7,Earthquake
1941,12,16,7.1,TAIWAN,TAIWAN,23.3,120.3,Earthquake
1945,1,12,7.1,JAPAN,JAPAN:  HONSHU:  S,34.7,137.2,Earthquake
1947,3,25,7.1,NEW ZEALAND,NEW ZEALAND:  OFF COAST NORTH ISLAND,-38.85,178.87,Earthquake
1948,2,9,7.1,GREECE,GREECE:  DODECANESE ISLANDS,35.5,27,Earthquake
1948,5,11,7.1,PERU,"PERU:  AREQUIPA,MOQUEGUA,TACNA,TORATA,QUELLAVECO",-17.4,-71,Earthquake
1952,3,9,7.1,JAPAN,JAPAN:  HOKKAIDO,41.7,142.5,Earthquake
1955,4,19,7.1,CHILE,CHILE,-30,-72,Earthquake
1956,1,8,7.1,CHILE,CHILE,-19,-70,Earthquake
1957,4,25,7.1,TURKEY,"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)",36.4,28.7,Earthquake
1957,5,26,7.1,TURKEY,TURKEY:  ABANT,40.7,30.9,Earthquake
1957,12,13,7.1,IRAN,IRAN:  FARSINAJ,34.3,47.8,Earthquake
1963,10,12,7.1,RUSSIA,RUSSIA:  S. KURIL ISLANDS,44.426,149.272,Earthquake
1965,3,31,7.1,GREECE,GREECE,38.6,22.4,Earthquake
1966,6,15,7.1,SOLOMON ISLANDS,SOLOMON ISLANDS:  GUADALCANAL,-10.343,160.883,Earthquake
1968,5,23,7.1,NEW ZEALAND,NEW ZEALAND:  SOUTH ISLAND:  NW COAST,-41.7,172,Earthquake
1970,2,5,7.1,PHILIPPINES,"PHILIPPINES:  LUZON, ROMBLON I; TABLAS I:  ODIONGAN",12.6,122.1,Earthquake
1970,7,31,7.1,PERU,PERU:  JUIN  PROVINCE FELT ARGENTINA TO MEXICO CITY,-1.5,-72.6,Earthquake
